FWHM_arcsec,Fiber_offset_arcsec,Percent_thru
6.999999999999999556e-01,-1.000000000000000000e+00,7.054491547499543103e+00
6.999999999999999556e-01,-9.000000000000000222e-01,1.155920487301601796e+01
6.999999999999999556e-01,-8.000000000000000444e-01,1.753346395459293561e+01
6.999999999999999556e-01,-6.999999999999999556e-01,2.532065463322825138e+01
6.999999999999999556e-01,-5.999999999999999778e-01,3.455541263876747848e+01
6.999999999999999556e-01,-5.000000000000000000e-01,4.442981799333142590e+01
6.999999999999999556e-01,-4.000000000000000222e-01,5.463980588468718480e+01
6.999999999999999556e-01,-2.999999999999999889e-01,6.260364008405259284e+01
6.999999999999999556e-01,-2.000000000000000111e-01,6.853044130808365253e+01
6.999999999999999556e-01,-1.000000000000000056e-01,7.214551793413248504e+01
6.999999999999999556e-01,0.000000000000000000e+00,7.338084126558499065e+01
6.999999999999999556e-01,1.000000000000000056e-01,7.223372409889594792e+01
6.999999999999999556e-01,2.000000000000000111e-01,6.870726754564574890e+01
6.999999999999999556e-01,2.999999999999999889e-01,6.286537747922666597e+01
6.999999999999999556e-01,4.000000000000000222e-01,5.497202975031212446e+01
6.999999999999999556e-01,5.000000000000000000e-01,4.480526742489298897e+01
6.999999999999999556e-01,5.999999999999999778e-01,3.492903255382980632e+01
6.999999999999999556e-01,6.999999999999999556e-01,2.565399519038519927e+01
6.999999999999999556e-01,8.000000000000000444e-01,1.780202004733876464e+01
6.999999999999999556e-01,9.000000000000000222e-01,1.175682360472357857e+01
6.999999999999999556e-01,1.000000000000000000e+00,7.184634499103046856e+00
